model,learning_rate,val_loss,val_accuracy,run_time
base best,0.001,1.7440903186798096,0.365200012922287,641.9470586776733
base best,0.0009,1.6113201379776,0.4294666647911072,704.4150032997131
base best,0.0007,2.041266679763794,0.23653332889080048,776.608561038971
base best,0.0005,1.527709722518921,0.47540000081062317,821.3423438072205
base best,0.0003,1.4923088550567627,0.48713332414627075,789.193790435791
base best,0.0001,1.5089432001113892,0.4845333397388458,874.1134104728699
base best,9e-05,1.4863624572753906,0.48493334650993347,762.3909952640533
base best,7e-05,1.4853882789611816,0.48046666383743286,744.7205312252045
base best,5e-05,1.482418179512024,0.48260000348091125,677.7584936618805
base best,3e-05,1.5003689527511597,0.47253334522247314,651.2856006622314
base best,1e-05,1.5611481666564941,0.4451333284378052,861.4679219722748
base best,5e-05,1.4955840110778809,0.4729999899864197,925.5475151538849
base best,-1.0,1.48701810836792,0.47920000553131104,1044.7310230731964
